number,value,datetime_start,datetime_complete,duration,params_hmm_detector.lookback_days,params_hmm_detector.min_samples,params_hmm_detector.retrain_frequency,params_market_type.mean_reverting.min_regime_score,params_market_type.neutral.min_regime_score,params_market_type.trend_following.min_regime_score,params_position_sizing.max_size_adjustment,params_position_sizing.min_size_adjustment,params_risk.atr_stop_multiplier,params_risk.dynamic_target_atr_multiplier,params_risk.max_bars_held,params_risk.risk_per_trade,params_risk.trailing_stop_atr_multiplier,user_attrs_max_drawdown,user_attrs_profit_loss,user_attrs_trade_count,user_attrs_win_rate,state
0,0.4407151884012071,2025-03-30 01:00:19.890728,2025-03-30 01:00:32.702957,0 days 00:00:12.812229,20,300,5,45.0,45.0,75.0,2.0,0.9,3.0,1.5,8,0.009000000000000001,2.1,1.6509392950201638,4901.043571428534,14,92.85714285714286,COMPLETE
1,0.20323882729982812,2025-03-30 01:00:32.703239,2025-03-30 01:00:45.120192,0 days 00:00:12.416953,30,250,7,40.0,50.0,65.0,1.5,0.8,1.7,1.1,14,0.008,1.2,3.899569371098144,1965.9746428571088,13,84.61538461538461,COMPLETE
2,0.14798605059171097,2025-03-30 01:00:45.120472,2025-03-30 01:00:57.307226,0 days 00:00:12.186754,20,300,5,47.5,50.0,80.0,1.1,0.8,2.3,0.8,14,0.007,1.9,1.2787640968104192,897.0635714285381,9,88.88888888888889,COMPLETE
3,0.10325052271448462,2025-03-30 01:00:57.307482,2025-03-30 01:01:03.356320,0 days 00:00:06.048838,25,200,11,42.5,47.5,72.5,2.0,0.8,1.6,0.8,20,0.01,1.7000000000000002,5.933502390523899,1418.0942857142436,14,64.28571428571429,COMPLETE
4,0.06589537762943645,2025-03-30 01:01:03.356574,2025-03-30 01:01:16.990647,0 days 00:00:13.634073,20,200,5,37.5,57.5,70.0,1.3,0.6,2.9000000000000004,1.9000000000000001,6,0.015,1.9,8.604667473262955,815.7428571428682,16,68.75,COMPLETE
5,0.04043163659410429,2025-03-30 01:01:16.991025,2025-03-30 01:01:31.607007,0 days 00:00:14.615982,35,150,7,45.0,57.5,77.5,1.8,0.5,1.7,0.8,20,0.011,2.2,4.4286958815198725,384.13785714292317,14,71.42857142857143,COMPLETE
6,0.48920258241931525,2025-03-30 01:01:31.607373,2025-03-30 01:01:44.086402,0 days 00:00:12.479029,20,200,7,45.0,60.0,77.5,1.5,0.5,1.6,1.6,10,0.009000000000000001,2.3,3.6165643795870075,3765.9478571428626,20,85.0,COMPLETE
7,0.09700472770150455,2025-03-30 01:01:44.087307,2025-03-30 01:01:51.724232,0 days 00:00:07.636925,30,150,9,35.0,55.0,65.0,1.3,0.7,2.7,1.8,12,0.013000000000000001,1.8,5.673483074920642,1528.510000000002,9,66.66666666666666,COMPLETE
8,0.09763517188074272,2025-03-30 01:01:51.724488,2025-03-30 01:02:07.668741,0 days 00:00:15.944253,20,175,7,47.5,55.0,80.0,1.9,0.9,1.8,1.7000000000000002,8,0.015,1.6,5.942890775481372,1303.4042857142194,16,68.75,COMPLETE
9,0.2324201072276745,2025-03-30 01:02:07.669034,2025-03-30 01:02:23.792074,0 days 00:00:16.123040,25,175,5,47.5,60.0,70.0,1.0,0.7,2.9000000000000004,1.8,20,0.007,1.8,1.3663019923705917,1127.9021428571432,14,71.42857142857143,COMPLETE
