date,adx,ma_slope,volatility_regime,atr_ratio,adx_score,slope_score,regime_score,favorable_regime,position_size_adj,in_season,season,hmm_confidence
2020-01-02 14:30:00,34.53308205472087,-0.013416877815419781,1,1.0000000000000002,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 14:35:00,39.595876403216415,-0.0055520683768017776,1,1.0034364261168385,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 14:40:00,44.357781165111135,0.0049354382977595534,1,1.1263736263736264,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 14:45:00,49.43211859237765,0.015423839394634875,1,1.1369863013698633,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 14:50:00,54.92662408687065,0.023444850616183288,1,1.1194539249146758,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 14:55:00,59.85387276410718,0.03347195143019732,1,1.0748299319727894,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:00:00,63.33589798525664,0.04056807647159211,1,1.034013605442177,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:05:00,66.42321987052848,0.045350634446128524,1,0.9931972789115646,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:10:00,71.16847461577322,0.046892088039895974,1,1.0047522063815344,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:15:00,76.17839525068227,0.046273373837957266,1,1.0263335584064823,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:20:00,80.28128640713638,0.04519164031773215,1,1.0455764075067024,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:25:00,82.9343476316219,0.04657827077398924,1,1.0126582278481013,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:30:00,83.60153758452478,0.045959000869832956,1,1.019867549668874,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:35:00,83.60153758452438,0.04456802175041297,1,1.0158311345646438,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:40:00,83.88725187023928,0.047649742012878527,1,1.0505581089954037,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:45:00,83.88725187023746,0.04949724064449157,1,1.0718954248366015,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:50:00,83.91942690241183,0.054120230172860495,1,1.1369509043927648,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 15:55:00,83.42774086629827,0.06259867771856165,1,1.279290690310323,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-02 16:00:00,82.49606384766741,0.06938009654626764,1,1.2927284027346178,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 09:30:00,80.15583828376796,0.06336520094167852,2,2.7833894500561165,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 09:35:00,77.8470359749746,0.05580881933513471,2,2.6673427991886407,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 09:40:00,75.30280220107089,0.049485642226509974,2,2.6019239578561613,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 09:45:00,72.9031713750522,0.043008962512836035,2,2.4110506488070325,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 09:50:00,70.63566783899289,0.03375795392888126,2,2.281982328082981,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 09:55:00,68.5075471732595,0.021886863412090563,2,2.1837455830388692,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:00:00,66.71861538433629,0.007706036292343121,2,2.1595330739299605,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:05:00,65.28675231653732,-0.006934737951658221,2,2.0578586340590515,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:10:00,63.75717078696515,-0.022959034302949544,2,1.9482663731425427,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:15:00,61.772341457012246,-0.039750343193367677,2,1.8737270875763747,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:20:00,60.03940690389079,-0.04175448976321272,1,1.7786187322611164,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:25:00,58.32781010301541,-0.04144806280383939,1,1.6452896948252989,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:30:00,56.79257425927439,-0.043760034761475275,1,1.5173560590313866,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:35:00,55.27716133082405,-0.04499361306417038,1,1.4389335424426584,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:40:00,52.466287993636755,-0.041913537918658594,1,0.8828006088280063,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:45:00,49.5969351242862,-0.04068216595550789,1,0.8402739218952434,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:50:00,47.40520043674082,-0.037756668289945505,1,0.7836764174792343,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 10:55:00,45.21067541861341,-0.03729606603561919,1,0.7590467784642542,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 11:00:00,42.99735884886293,-0.03760597873412319,1,0.7340720221606649,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 11:05:00,40.26175771009668,-0.036375238327179815,1,0.6910638297872341,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 11:10:00,37.05068949903204,-0.034989772813098785,1,0.6698728959120577,0,0,50.0,True,0.7,0,Out-of-Season,
2020-01-03 11:15:00,33.5845933831708,-0.0346828293789736,1,0.64078008009751,0,0,50.0,True,0.7,0,Out-of-Season,
