year_quarter,total_trades,win_rate,total_profit,quarter_return,avg_profit,profit_factor,max_drawdown,start_value,end_value
2020-Q1,24,75.0,1454.0735714286084,3.377108928571488,60.58639880952535,1.4341134583290622,3.756675528658119,40000.0,41350.843571428595
2020-Q2,35,65.71428571428571,2666.69964285717,6.130418206531439,76.19141836734772,1.458324824249443,4.739380770276558,41350.843571428595,43885.82321428579
2020-Q3,22,63.63636363636363,1409.4471428571937,2.9435180845296105,64.06577922078154,1.3398450497842798,4.3671933666706195,43885.82321428579,45177.610357142985
2020-Q4,32,84.375,8774.484285714292,19.050375213910666,274.20263392857163,3.584207408454568,3.5584209485826452,45177.610357142985,53784.11464285729
