entry_time,exit_time,entry_price,exit_price,profit,type,num_contracts,stop_loss,profit_target,bars_held,atr,rsi,volume,avg_volume,entry_account_value,exit_reason,fees,exit_account_value,adx,ma_slope,volatility_regime,regime_score,favorable_regime,position_size_adj,market_type,in_season,season,used_trailing_stop,used_dynamic_target,highest_price_reached,lowest_price_reached,seed,run_profit_loss,run_win_rate,run_sharpe,run_max_dd,profit_pct,holding_time,trade_result
2020-09-08 09:35:00,2020-09-08 09:40:00,3359.25,3341.7285714285713,-615.840000000005,long,7,3341.7285714285713,3367.214285714286,1,7.964285714285714,6.648199445880238,54937,3578.85,46812.52946428573,stop_loss,2.59,46196.68946428573,25.28479975135169,-0.1258440582378339,2,99.6835438701747,True,1.5,mean_reverting,1,Q3,False,True,3362.25,,25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,-1.3155452333970596,0.08333333333333333,loss
2020-09-08 09:45:00,2020-09-08 09:55:00,3343.5,3353.6785714285716,303.1371428571467,long,6,3321.1071428571427,3353.6785714285716,2,10.178571428571429,8.108108108005837,42398,7660.65,46194.46946428573,profit_target,2.22,46497.60660714287,34.154023831869004,-0.2293982192872246,2,99.6835438701747,True,1.5,mean_reverting,1,Q3,False,True,3367.75,,25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,0.6562195569569442,0.16666666666666666,win
2020-09-08 15:00:00,2020-09-08 15:30:00,3344.0,3351.8928571428573,273.66000000000685,long,7,3326.635714285714,3351.8928571428573,6,7.892857142857143,25.4098360649906,23721,10607.4,46495.01660714288,profit_target,2.59,46768.67660714288,46.93894668339976,-0.1366043053396048,1,99.6835438701747,True,1.5,mean_reverting,1,Q3,False,True,3354.0,,25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,0.5885792069121776,0.5,win
2020-09-10 09:30:00,2020-09-10 10:05:00,3417.25,3423.9464285714284,298.0092857142799,long,9,3402.5178571428573,3423.9464285714284,7,6.696428571428571,28.31858407009476,12613,7885.5,46765.34660714288,profit_target,3.33,47063.35589285716,21.19145083681082,0.0744782854746883,1,99.6835438701747,True,1.5,mean_reverting,1,Q3,False,True,3424.25,,25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,0.637243829747992,0.5833333333333334,win
2020-09-10 11:00:00,2020-09-10 11:05:00,3387.25,3396.089285714286,306.7850000000023,long,7,3367.8035714285716,3396.089285714286,1,8.839285714285714,31.189710610370867,27790,14839.6,47060.76589285716,profit_target,2.59,47367.550892857165,28.43906595817391,-0.03323557876026,1,99.6835438701747,True,1.5,mean_reverting,1,Q3,False,True,3398.25,,25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,0.6518912180444685,0.08333333333333333,win
2020-09-15 15:55:00,2020-09-16 09:30:00,3391.0,3398.8285714285716,-395.12857142858246,short,10,3398.8285714285716,3382.926785714286,2,4.892857142857143,40.44117646892301,8172,6212.35,47363.85089285717,stop_loss,3.7,46968.722321428584,69.33222331431307,-0.1087616312480888,1,79.99999999976353,True,1.2,neutral,1,Q3,False,True,,3389.5,25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,-0.8342408059733396,17.583333333333332,loss
2020-10-26 09:35:00,2020-10-26 10:00:00,3424.0,3429.0535714285716,298.7742857142935,long,12,3412.8821428571428,3429.0535714285716,5,5.053571428571429,24.870466320521885,19696,6300.1,46964.28232142858,profit_target,4.4399999999999995,47263.05660714288,43.699863806724466,0.0300486439642089,2,100.0,True,1.5,mean_reverting,1,Q4,False,True,3429.25,,25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,0.6361734299897319,0.4166666666666667,win
2020-10-27 15:10:00,2020-10-27 15:20:00,3382.0,3386.6071428571427,294.65428571427304,long,13,3371.864285714286,3386.6071428571427,2,4.607142857142857,15.909090908078523,13058,7265.0,47258.24660714288,profit_target,4.81,47552.90089285715,45.56907996080206,-0.0089919308476238,1,100.0,True,1.5,mean_reverting,1,Q4,False,True,3389.75,,25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,0.6234981339103202,0.16666666666666666,win
2020-10-28 09:35:00,2020-10-28 10:15:00,3319.75,3299.635714285714,-605.6485714285761,long,6,3299.635714285714,3328.8928571428573,8,9.142857142857142,14.8541114056149,29903,10049.95,47550.68089285715,stop_loss,2.22,46945.032321428575,48.501116811943014,-0.0971579457950122,2,100.0,True,1.5,mean_reverting,1,Q4,False,True,3328.25,,25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,-1.273690639242884,0.6666666666666666,loss
2020-10-29 09:45:00,2020-10-29 09:50:00,3255.75,3265.4464285714284,288.6728571428532,long,6,3234.417857142857,3265.4464285714284,1,9.696428571428571,33.229813664018366,31760,19543.35,46942.81232142857,profit_target,2.22,47231.48517857143,20.13203656690955,-0.1361999750426834,1,100.0,True,1.5,mean_reverting,1,Q4,False,True,3276.0,,25,12190.488035714334,67.54385964912281,0.2976931597044848,4.509576206136946,0.6149458093099358,0.08333333333333333,win
