seed,profit_loss,win_rate,sharpe_ratio,max_drawdown,num_trades,avg_profit,median_profit,profit_std,largest_win,largest_loss,pct_trend_following,pct_mean_reverting,pct_profit_target,pct_stop_loss,avg_regime_score,run_category
33,10305.873928571573,64.38356164383562,0.2355701411872955,4.598481111344312,146,74.32365704501039,217.20607142857222,376.83604161340423,669.7942857142754,-670.8049999999909,16.43835616438356,61.64383561643836,60.273972602739725,28.767123287671232,92.83595702996833,profitable
34,7399.873571428674,64.12213740458014,0.1850537168731391,5.2634985965644265,131,59.89666848418798,223.48285714286416,388.1630241424219,666.1214285714357,-745.8050000000136,27.480916030534353,51.908396946564885,59.541984732824424,32.06106870229007,93.19352206330572,profitable
35,5241.6200000001045,62.091503267973856,0.1154946014577416,10.277171305383192,153,37.85496732026178,209.7571428571445,381.38250981239867,627.4800000000191,-692.5332142857269,26.143790849673206,62.745098039215684,58.16993464052288,33.33333333333333,95.31050040222722,profitable
32,6212.707500000048,63.114754098360656,0.1625711561886205,8.90453225255429,122,54.03850409836083,208.8507142857042,367.36932344049586,657.36000000002,-681.360357142851,22.131147540983605,61.47540983606557,59.83606557377049,28.688524590163933,88.04534953220653,profitable
50,4798.847500000098,59.71223021582733,0.1208894145553203,9.015577120036175,139,37.894010791367506,191.54571428571285,367.52406932177547,627.4800000000191,-712.8457142857269,25.179856115107913,59.71223021582733,56.11510791366906,33.093525179856115,91.6508089394705,profitable
43,2831.846071428765,58.78378378378378,0.0715566635972072,12.29133951139951,148,22.81659507722126,198.71714285714904,355.8346699798482,597.6000000000182,-681.360357142851,15.54054054054054,63.51351351351351,54.729729729729726,35.13513513513514,94.13545892013524,profitable
44,1176.6925000001356,60.8,0.0362641679073973,9.699416145158349,125,12.560020000000701,182.06571428572013,356.4402239483686,592.4378571428641,-692.5332142857269,20.8,69.6,57.599999999999994,36.0,89.26055226245587,profitable
21,7978.809107143054,66.42335766423358,0.184920919734503,7.556897034396585,137,62.02320516162783,212.4100000000068,392.3711641159586,687.2400000000209,-745.8050000000136,20.437956204379564,61.31386861313869,62.04379562043796,29.927007299270077,95.54120366183413,profitable
19,4789.836249999942,60.76923076923077,0.1241496919047591,7.662204310945836,130,40.2403557692308,182.19000000000273,365.52435205938906,618.2614285714362,-712.8457142857269,24.615384615384617,51.53846153846153,56.15384615384615,32.30769230769231,93.67283074021572,profitable
26,3573.1191071428184,59.84848484848485,0.0886144453523064,10.595183698132006,132,30.242114448051563,193.578571428572,382.8762889584469,603.7028571428477,-692.5332142857269,34.090909090909086,47.72727272727273,55.3030303030303,34.84848484848485,92.70804319941983,profitable
10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,151,19.48651490066227,198.67285714285325,367.6953575899835,597.6000000000182,-645.4992857142798,27.1523178807947,56.29139072847682,54.3046357615894,35.099337748344375,94.77348500167662,profitable
28,12137.611607142964,67.16417910447761,0.2678042640531347,4.519862615874451,134,94.23777318763368,209.99892857142095,385.8535103489915,747.0000000000227,-745.8050000000136,20.149253731343283,52.23880597014925,63.43283582089553,27.611940298507463,93.54204650215782,profitable
17,3184.716250000122,60.29411764705882,0.0844873212501365,10.043865984735705,136,26.69806066176522,199.91642857142435,379.28590584581036,611.4778571428737,-717.221428571422,30.14705882352941,49.26470588235294,55.14705882352941,32.35294117647059,92.03515851563002,profitable
