number,value,datetime_start,datetime_complete,duration,params_hmm_detector.lookback_days,params_hmm_detector.min_samples,params_hmm_detector.retrain_frequency,params_market_type.mean_reverting.min_regime_score,params_market_type.neutral.min_regime_score,params_market_type.trend_following.min_regime_score,params_position_sizing.max_size_adjustment,params_position_sizing.min_size_adjustment,params_risk.atr_stop_multiplier,params_risk.dynamic_target_atr_multiplier,params_risk.max_bars_held,params_risk.risk_per_trade,params_risk.trailing_stop_atr_multiplier,user_attrs_max_drawdown,user_attrs_profit_loss,user_attrs_trade_count,user_attrs_win_rate,state
0,0.025354230992604608,2025-03-30 00:43:31.702093,2025-03-30 00:43:37.989855,0 days 00:00:06.287762,20,300,5,45.0,45.0,75.0,2.0,0.9,3.0,1.5,8,0.009000000000000001,2.1,3.9029571428571033,132.16821428576077,25,64.0,COMPLETE
1,0.1822640475229647,2025-03-30 00:43:37.990142,2025-03-30 00:43:43.943432,0 days 00:00:05.953290,30,250,7,40.0,50.0,65.0,1.5,0.8,1.7,1.1,14,0.008,1.2,2.6835548467681978,874.4028571428717,17,76.47058823529412,COMPLETE
2,-0.34983054840326844,2025-03-30 00:43:43.943704,2025-03-30 00:43:50.523346,0 days 00:00:06.579642,20,300,5,47.5,50.0,80.0,1.1,0.8,2.3,0.8,14,0.007,1.9,4.4849513392856535,-1630.105535714254,17,52.94117647058824,COMPLETE
3,0.25437475862733455,2025-03-30 00:43:50.523733,2025-03-30 00:43:54.379043,0 days 00:00:03.855310,25,200,11,42.5,47.5,72.5,2.0,0.8,1.6,0.8,20,0.01,1.7000000000000002,4.74413858953466,2191.585714285815,23,73.91304347826086,COMPLETE
4,-0.25222394295201334,2025-03-30 00:43:54.379306,2025-03-30 00:44:01.143789,0 days 00:00:06.764483,20,200,5,37.5,57.5,70.0,1.3,0.6,2.9000000000000004,1.9000000000000001,6,0.015,1.9,9.666608035714253,-2743.132857142795,23,52.17391304347826,COMPLETE
5,0.06341724018511735,2025-03-30 00:44:01.144069,2025-03-30 00:44:07.864733,0 days 00:00:06.720664,35,150,7,45.0,57.5,77.5,1.8,0.5,1.7,0.8,20,0.011,2.2,4.599335588076184,428.9675000000352,20,65.0,COMPLETE
6,-0.3105959615860083,2025-03-30 00:44:07.864995,2025-03-30 00:44:14.035709,0 days 00:00:06.170714,20,200,7,45.0,60.0,77.5,1.5,0.5,1.6,1.6,10,0.009000000000000001,2.3,7.998349553571551,-2501.726250000036,26,46.15384615384615,COMPLETE
7,-0.027107844281656215,2025-03-30 00:44:14.035981,2025-03-30 00:44:18.437580,0 days 00:00:04.401599,30,150,9,35.0,55.0,65.0,1.3,0.7,2.7,1.8,12,0.013000000000000001,1.8,5.326151785714265,-323.8871428570419,18,61.111111111111114,COMPLETE
8,0.13564845161512787,2025-03-30 00:44:18.437878,2025-03-30 00:44:25.046854,0 days 00:00:06.608976,20,175,7,47.5,55.0,80.0,1.9,0.9,1.8,1.7000000000000002,8,0.015,1.6,6.508856624582235,1323.0907142857468,20,60.0,COMPLETE
9,-0.011840916826088406,2025-03-30 00:44:25.047140,2025-03-30 00:44:31.612205,0 days 00:00:06.565065,25,175,5,47.5,60.0,70.0,1.0,0.7,2.9000000000000004,1.8,20,0.007,1.8,1.2776185832634153,-65.21839285715396,11,63.63636363636363,COMPLETE
10,0.3203022088038876,2025-03-30 00:44:31.612458,2025-03-30 00:44:34.581203,0 days 00:00:02.968745,40,250,15,40.0,45.0,72.5,1.7000000000000002,0.8,2.1,1.2000000000000002,18,0.011,1.3,4.364198679079962,2712.238928571438,22,77.27272727272727,COMPLETE
11,0.3449691099705757,2025-03-30 00:44:34.581457,2025-03-30 00:44:37.409150,0 days 00:00:02.827693,40,250,15,40.0,45.0,72.5,1.7000000000000002,0.8,2.2,1.2000000000000002,18,0.011,1.3,3.987642488996662,3061.4942857142887,22,77.27272727272727,COMPLETE
12,0.3166909846941961,2025-03-30 00:44:37.409397,2025-03-30 00:44:39.987592,0 days 00:00:02.578195,40,250,15,40.0,45.0,70.0,1.7000000000000002,0.8,2.2,1.2000000000000002,16,0.012,1.1,4.655076472852598,3020.3057142857288,22,77.27272727272727,COMPLETE
13,0.302867189176118,2025-03-30 00:44:39.987871,2025-03-30 00:44:42.763506,0 days 00:00:02.775635,40,250,15,40.0,47.5,72.5,1.7000000000000002,0.9,2.1,1.3,16,0.013000000000000001,1.4,4.91926233831188,2828.1003571428882,18,77.77777777777779,COMPLETE
14,0.32528234234921977,2025-03-30 00:44:42.763756,2025-03-30 00:44:46.507151,0 days 00:00:03.743395,35,275,13,35.0,45.0,75.0,1.6,0.7,2.5,1.1,18,0.012,1.4,4.434895368233774,2931.487142857164,22,77.27272727272727,COMPLETE
15,0.312110846316073,2025-03-30 00:44:46.507453,2025-03-30 00:44:50.086897,0 days 00:00:03.579444,35,275,13,35.0,50.0,75.0,1.4,0.6,2.5,1.0,18,0.013000000000000001,1.0,4.021148177739383,2695.869285714354,22,77.27272727272727,COMPLETE
