entry_time,exit_time,entry_price,exit_price,profit,type,num_contracts,stop_loss,profit_target,bars_held,atr,rsi,volume,avg_volume,entry_account_value,exit_reason,fees,exit_account_value,adx,ma_slope,volatility_regime,regime_score,favorable_regime,position_size_adj,market_type,in_season,season,used_trailing_stop,used_dynamic_target,highest_price_reached,lowest_price_reached
2020-02-04 09:35:00,2020-02-04 10:35:00,3285.5,3297.5714285714284,-667.9985714285643,short,11,3297.5714285714284,3279.464285714286,12,6.035714285714286,77.95275590379316,13175,2776.15,40758.48071428575,stop_loss,4.07,40090.48214285719,23.56149480221935,0.04123159386264508,2,99.99999999990905,True,1.5,mean_reverting,1,Q1,False,True,,3283.0
2020-02-04 16:00:00,2020-02-05 09:30:00,3296.0,3298.4285714285716,306.0942857143026,long,26,3290.657142857143,3298.4285714285716,1,2.4285714285714284,21.3114754078796,7132,2224.15,40080.862142857186,profit_target,9.62,40386.95642857149,32.39450087123585,0.0006058173612100148,1,99.99999999990905,True,1.5,mean_reverting,1,Q1,False,True,3329.5,
2020-02-05 09:35:00,2020-02-05 09:40:00,3324.75,3320.0,327.32,short,14,3334.25,3320.0,1,4.75,77.5757575731247,11441,2893.75,40381.77642857149,profit_target,5.18,40709.09642857149,37.04657224804124,0.018930244321313516,2,99.99999999990905,True,1.5,mean_reverting,1,Q1,False,True,,3317.5
2020-02-05 09:45:00,2020-02-05 10:25:00,3319.75,3314.625,328.315,short,13,3330.0,3314.625,8,5.125,71.3483146044969,6068,3456.85,40704.28642857149,profit_target,4.81,41032.60142857149,41.67034696767423,0.03891893201604102,2,99.99999999990905,True,1.5,mean_reverting,1,Q1,False,True,,3313.25
2020-02-07 09:40:00,2020-02-07 10:20:00,3329.75,3333.625,323.085,long,17,3321.225,3333.625,8,3.875,31.428571427314296,13901,2901.95,41026.31142857149,profit_target,6.29,41349.39642857149,33.05367204553899,-0.022731861245905982,2,99.99999999990905,True,1.5,mean_reverting,1,Q1,False,True,3334.25,
2020-03-03 10:05:00,2020-03-03 10:10:00,3128.0,3108.535714285714,290.8542857142867,short,3,3166.9285714285716,3108.535714285714,1,19.464285714285715,77.8260869558901,36963,9662.3,41348.28642857149,profit_target,1.1099999999999999,41639.14071428578,60.428563902737174,0.36845715797042544,1,100.0,True,1.5,mean_reverting,1,Q1,False,True,,3081.0
2020-03-05 09:40:00,2020-03-05 11:00:00,3055.5,3062.25,133.52,long,4,3024.582142857143,3069.5535714285716,16,14.053571428571429,34.50292397623154,10895,5978.2,41637.660714285776,time_exit,1.48,41771.18071428577,41.31767944610169,0.3087217133730169,1,100.0,True,1.5,mean_reverting,1,Q1,False,True,3067.5,
2020-03-06 09:35:00,2020-03-06 10:25:00,2930.25,2949.6428571428573,289.78285714286005,long,3,2887.5857142857144,2949.6428571428573,10,19.392857142857142,21.484992100915775,20581,8842.9,41770.07071428577,profit_target,1.1099999999999999,42059.85357142863,21.546721514825663,-0.43681803865568414,1,100.0,True,1.5,mean_reverting,1,Q1,False,True,2963.0,
2020-03-06 15:50:00,2020-03-06 15:55:00,2951.0,2979.6071428571427,-573.6228571428533,short,4,2979.6071428571427,2936.6964285714284,1,14.303571428571429,67.46411483163206,12513,7771.35,42058.37357142863,stop_loss,1.48,41484.75071428578,40.427506745627014,-0.15282635148358148,1,100.0,True,1.5,mean_reverting,1,Q1,False,True,,2951.0
2020-03-06 16:00:00,2020-03-09 09:30:00,2970.5,2954.535714285714,317.80571428571557,short,4,3002.4285714285716,2954.535714285714,1,15.964285714285714,77.96976241806343,17137,9015.6,41483.270714285776,profit_target,1.48,41801.07642857149,40.11003464514782,-0.038152726727702646,1,100.0,True,1.5,neutral,1,Q1,False,True,,2759.5
2020-03-09 16:00:00,2020-03-10 09:30:00,2736.0,2775.285714285714,-590.3957142857133,short,3,2775.285714285714,2716.3571428571427,1,19.642857142857142,49.498327758733794,23021,11138.2,41799.96642857149,stop_loss,1.1099999999999999,41209.57071428578,13.035406083284688,-0.33526900576389407,1,100.0,True,1.5,neutral,1,Q1,False,True,,2736.0
2020-03-12 15:45:00,2020-03-12 15:55:00,2508.5,2489.714285714286,280.6757142857133,short,3,2546.0714285714284,2489.714285714286,2,18.785714285714285,44.59770114885116,15377,10217.5,41208.46071428578,profit_target,1.1099999999999999,41489.136428571495,15.199028465086982,-0.2741888497846512,1,100.0,True,1.5,neutral,1,Q1,False,True,,2465.25
2020-03-13 15:40:00,2020-03-13 15:45:00,2564.25,2583.707142857143,193.83142857143025,long,2,2521.6875,2583.707142857143,1,24.321428571428573,59.15032679684438,10242,6673.4,41488.3964285715,profit_target,0.74,41682.22785714293,26.949778963050246,0.22078670307641435,1,100.0,True,1.5,neutral,1,Q1,False,True,2619.75,
2020-04-15 09:35:00,2020-04-15 10:15:00,2773.0,2753.1035714285713,-399.4085714285743,long,4,2753.1035714285713,2784.0535714285716,8,11.053571428571429,18.226600984970275,20822,6581.2,41680.747857142924,stop_loss,1.48,41281.33928571435,26.9825246247543,0.10101903616162033,2,53.93424139620535,True,1.0,mean_reverting,1,Q2,False,True,2780.0,
2020-04-17 09:35:00,2020-04-17 10:15:00,2843.25,2832.1785714285716,219.94857142856884,short,4,2865.3928571428573,2832.1785714285716,8,11.071428571428571,82.56410256291703,21579,7894.7,41279.859285714345,profit_target,1.48,41499.807857142914,26.847306228596192,0.08283348129312085,1,53.93424139620535,True,1.0,mean_reverting,1,Q2,False,True,,2831.75
2020-04-17 15:35:00,2020-04-17 15:45:00,2848.25,2857.3928571428573,-460.8428571428669,short,10,2857.3928571428573,2843.6785714285716,2,4.571428571428571,66.87898088933426,9061,5196.65,41496.10785714292,stop_loss,3.7,41035.26500000005,35.267491824168616,0.07021047265054481,1,53.93424139620535,True,1.0,mean_reverting,1,Q2,False,True,,2848.25
2020-04-17 15:50:00,2020-04-17 15:55:00,2857.75,2867.535714285714,-443.6871428571399,short,9,2867.535714285714,2852.8571428571427,1,4.892857142857143,87.19512194824212,11487,6070.9,41031.93500000005,stop_loss,3.33,40588.24785714291,43.1457440972856,0.11941762300720082,1,53.93424139620535,True,1.0,mean_reverting,1,Q2,False,True,,2857.75
2020-04-17 16:00:00,2020-04-20 09:30:00,2864.5,2858.625,203.035,short,7,2876.25,2858.625,1,5.875,84.18367346698251,18354,7685.25,40585.65785714291,profit_target,2.59,40788.692857142916,49.190139213812095,0.1566253584921684,1,53.93424139620535,True,1.0,trend_following,1,Q2,False,True,,2819.0
2020-04-20 15:25:00,2020-04-21 09:30:00,2819.25,2811.5178571428573,306.3257142857065,short,8,2834.714285714286,2811.5178571428573,8,7.732142857142857,35.12396694133598,12372,9454.7,40785.73285714292,profit_target,2.96,41092.05857142862,62.569362036387204,-0.16581475821609848,1,100.0,True,1.5,trend_following,1,Q2,False,True,,2763.25
2020-04-21 15:10:00,2020-04-21 15:20:00,2726.0,2743.1071428571427,-687.2457142857065,short,8,2743.1071428571427,2717.4464285714284,2,8.553571428571429,41.66666666578282,15998,10654.65,41089.09857142862,stop_loss,2.96,40401.85285714291,24.610634503229115,-0.12223285999312106,1,100.0,True,1.5,trend_following,1,Q2,False,True,,2726.0
2020-04-22 09:40:00,2020-04-22 11:00:00,2781.0,2775.0,-151.85,long,5,2748.7678571428573,2809.364285714286,16,12.892857142857142,68.99563318692931,17637,13694.3,40400.002857142914,time_exit,1.85,40248.152857142915,25.45386576067697,0.1497936907409514,1,100.0,True,1.5,trend_following,1,Q2,False,True,2784.0,
2020-04-22 15:05:00,2020-04-22 15:55:00,2800.25,2790.7410714285716,-814.5489285714175,long,17,2790.7410714285716,2808.6178571428572,10,3.8035714285714284,67.61904761544127,6740,4963.95,40241.862857142914,stop_loss,6.29,39427.3139285715,69.39516458015498,0.14642656303618384,1,100.0,True,1.5,trend_following,1,Q2,False,True,2808.0,
2020-04-23 09:35:00,2020-04-23 10:30:00,2813.25,2829.2,714.4199999999918,long,9,2795.125,2829.2,11,7.25,63.47826086801966,27285,7955.95,39423.9839285715,profit_target,3.33,40138.40392857149,51.65370780852443,0.12050115569932629,1,100.0,True,1.5,trend_following,1,Q2,False,True,2829.5,
2020-04-23 15:35:00,2020-04-23 15:50:00,2798.0,2792.125,319.055,short,11,2809.75,2792.125,3,5.875,43.225806450051195,13263,9378.9,40134.33392857149,profit_target,4.07,40453.38892857149,14.388292833469919,-0.1990474159380029,1,100.0,True,1.5,trend_following,1,Q2,False,True,,2788.75
