entry_time,exit_time,entry_price,exit_price,profit,type,num_contracts,stop_loss,profit_target,bars_held,atr,rsi,volume,avg_volume,entry_account_value,exit_reason,fees,exit_account_value,adx,ma_slope,volatility_regime,regime_score,favorable_regime,position_size_adj,market_type,in_season,season,used_trailing_stop,used_dynamic_target,highest_price_reached,lowest_price_reached,seed,run_profit_loss,run_win_rate,run_sharpe,run_max_dd,profit_pct,holding_time,trade_result
2020-03-13 09:30:00,2020-03-13 09:40:00,2606.0,2569.49375,364.3224999999991,short,2,2641.4,2569.49375,2,22.125,30.14553014517918,19899,12056.75,38748.11535714283,profit_target,0.74,39112.43785714283,17.30076495839156,-0.1437053508066443,1,100.0,True,1.5,trend_following,1,Q1,False,True,,2551.25,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,0.9402328258859172,0.16666666666666666,win
2020-03-13 15:40:00,2020-03-13 15:45:00,2564.25,2617.7571428571428,534.3314285714275,long,2,2503.4464285714284,2617.7571428571428,1,24.321428571428573,59.15032679684438,10242,6673.4,39111.69785714283,profit_target,0.74,39646.02928571426,26.94977896305025,0.2207867030764143,1,100.0,True,1.5,trend_following,1,Q1,False,True,2619.75,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,1.3661678163988076,0.08333333333333333,win
2020-04-16 09:45:00,2020-04-16 09:55:00,2783.0,2768.9375,-353.4125,long,5,2768.9375,2789.4285714285716,2,8.035714285714286,52.17391304206679,10933,8764.35,39644.179285714265,stop_loss,1.85,39290.766785714266,16.47618479559136,0.1267603094177838,1,79.93734481983077,True,1.2,neutral,1,Q2,False,True,2783.0,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,-0.891461259553308,0.16666666666666666,loss
2020-04-20 15:25:00,2020-04-21 09:30:00,2819.25,2806.4919642857144,380.5210714285679,short,6,2831.6214285714286,2806.4919642857144,8,7.732142857142857,35.12396694133598,12372,9454.7,39288.546785714265,profit_target,2.22,39669.06785714283,62.5693620363872,-0.1658147582160984,1,100.0,True,1.5,trend_following,1,Q2,False,True,,2763.25,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,0.9685292599494401,18.083333333333332,win
2020-04-21 15:10:00,2020-04-21 15:15:00,2726.0,2739.6857142857143,-412.7914285714294,short,6,2739.6857142857143,2711.886607142857,1,8.553571428571429,41.66666666578282,15998,10654.65,39666.847857142835,stop_loss,2.22,39254.056428571406,24.610634503229115,-0.122232859993121,1,100.0,True,1.5,trend_following,1,Q2,False,True,,2726.0,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,-1.0406459067735017,0.08333333333333333,loss
2020-04-22 09:40:00,2020-04-22 10:50:00,2781.0,2774.0,-141.48,long,4,2748.7678571428573,2809.364285714286,14,12.892857142857142,68.99563318692931,17637,13694.3,39252.5764285714,time_exit,1.48,39111.0964285714,25.45386576067697,0.1497936907409514,1,100.0,True,1.5,trend_following,1,Q2,False,True,2784.0,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,-0.3604349392388385,1.1666666666666667,loss
2020-04-22 15:05:00,2020-04-22 15:55:00,2800.25,2790.7410714285716,-622.8903571428486,long,13,2790.7410714285716,2808.6178571428572,10,3.803571428571429,67.61904761544127,6740,4963.95,39106.2864285714,stop_loss,4.81,38483.39607142856,69.39516458015498,0.1464265630361838,1,100.0,True,1.5,trend_following,1,Q2,False,True,2808.0,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,-1.5928138773303706,0.8333333333333334,loss
2020-04-23 09:35:00,2020-04-23 10:30:00,2813.25,2829.2,555.6599999999936,long,7,2795.125,2829.2,11,7.25,63.47826086801966,27285,7955.95,38480.80607142856,profit_target,2.59,39036.46607142856,51.65370780852443,0.1205011556993262,1,100.0,True,1.5,trend_following,1,Q2,False,True,2829.5,,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,1.4439926205510625,0.9166666666666666,win
2020-04-23 15:35:00,2020-04-23 15:55:00,2798.0,2788.30625,384.7899999999964,short,8,2807.4,2788.30625,4,5.875,43.225806450051195,13263,9378.9,39033.50607142856,profit_target,2.96,39418.29607142855,14.38829283346992,-0.1990474159380029,1,100.0,True,1.5,trend_following,1,Q2,False,True,,2787.5,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,0.9857941003194994,0.3333333333333333,win
2020-04-23 16:00:00,2020-04-24 09:30:00,2787.75,2798.635714285714,-383.5899999999945,short,7,2798.635714285714,2776.5241071428572,1,6.803571428571429,36.61971830889638,14911,9528.75,39415.706071428554,stop_loss,2.59,39032.11607142856,19.51612113296004,-0.2095362099204134,1,100.0,True,1.5,trend_following,1,Q2,False,True,,2787.75,10,2424.833750000049,58.27814569536424,0.0592693082229216,10.607063178814576,-0.9731907359590576,17.5,loss
