entry_time,exit_time,entry_price,exit_price,profit,type,num_contracts,stop_loss,profit_target,bars_held,atr,rsi,volume,avg_volume,entry_account_value,exit_reason,fees,exit_account_value,adx,ma_slope,volatility_regime,regime_score,favorable_regime,position_size_adj,market_type,in_season,season,used_trailing_stop,used_dynamic_target,highest_price_reached,lowest_price_reached
2020-10-22 16:00:00,2020-10-23 09:30:00,3447.25,3450.092857142857,138.4428571428578,long,10,3441.03125,3450.092857142857,1,3.5535714285714284,54.216867466221515,20323,5996.55,39996.3,profit_target,3.7,40134.74285714286,17.182337727283645,0.11847841116667812,1,80.0,True,1.2,neutral,1,Q4,False,True,3460.5,
2020-10-23 10:05:00,2020-10-23 10:30:00,3448.75,3452.907142857143,142.90999999999954,long,7,3439.65625,3452.907142857143,5,5.196428571428571,50.75757575542241,15256,9330.65,40132.152857142864,profit_target,2.59,40275.06285714286,22.262808040452704,0.155592232021462,1,80.0,True,1.2,neutral,1,Q4,False,True,3453.5,
2020-10-29 09:45:00,2020-10-29 09:50:00,3255.75,3274.1732142857145,-369.9442857142899,short,4,3274.1732142857145,3241.2053571428573,1,9.696428571428571,33.229813664018366,31760,19543.35,40273.58285714286,stop_loss,1.48,39903.638571428564,20.13203656690955,-0.13619997504268344,1,99.99999891042536,True,1.5,trend_following,1,Q4,False,True,,3255.75
2020-10-30 15:05:00,2020-10-30 15:35:00,3236.75,3236.25,10.65,short,5,3252.9,3224.0,6,8.5,47.25738396512809,21796,13264.85,39901.788571428566,time_exit,1.85,39912.43857142857,10.661804158664888,-0.0908164553259927,1,99.99999891042536,True,1.5,trend_following,1,Q4,False,True,,3228.5
2020-11-10 10:05:00,2020-11-10 10:20:00,3545.25,3527.1964285714284,269.69357142857336,short,3,3568.1178571428572,3527.1964285714284,3,12.035714285714286,32.311320754290236,29259,20921.75,39911.32857142857,profit_target,1.1099999999999999,40181.02214285714,68.69563247240474,-0.36578292254448863,1,99.99999891042536,True,1.5,trend_following,1,Q4,False,True,,3526.0
2020-11-12 15:20:00,2020-11-12 15:35:00,3524.75,3515.6964285714284,314.2850000000046,short,7,3536.217857142857,3515.6964285714284,3,6.035714285714286,41.91176470415657,15945,11323.95,40178.43214285714,profit_target,2.59,40492.717142857146,14.958669702961659,-0.2202708442398671,1,99.99999891042536,True,1.5,trend_following,1,Q4,False,True,,3515.25
2020-11-12 15:50:00,2020-11-12 15:55:00,3521.0,3532.6375,-409.9024999999936,short,7,3532.6375,3511.8125,1,6.125,40.55944055785222,17009,12384.85,40490.12714285715,stop_loss,2.59,40080.22464285715,12.511360407071574,-0.20190659735811467,1,99.99999891042536,True,1.5,trend_following,1,Q4,False,True,,3521.0
2020-11-13 15:15:00,2020-11-13 15:30:00,3576.0,3584.4464285714284,502.3457142857065,long,12,3566.401785714286,3584.4464285714284,3,3.8392857142857144,63.3928571396875,8095,5880.2,40075.78464285715,profit_target,4.4399999999999995,40578.13035714286,33.619582598423925,0.1036897557608274,1,99.99999891042536,True,1.5,trend_following,1,Q4,False,True,3584.5,
2020-11-13 15:35:00,2020-11-16 09:30:00,3583.5,3592.1428571428573,514.1314285714402,long,12,3573.6785714285716,3592.1428571428573,6,3.9285714285714284,64.8648648615924,14945,6682.25,40573.690357142856,profit_target,4.4399999999999995,41087.821785714295,35.24004170674892,0.1141685402556325,1,99.99999891042536,True,1.5,neutral,1,Q4,False,True,3613.25,
2020-11-20 09:45:00,2020-11-20 09:55:00,3576.5,3567.5625,-405.5175,long,9,3567.5625,3580.5857142857144,2,5.107142857142857,52.671755722939224,11666,9402.8,41084.491785714294,stop_loss,3.33,40678.97428571429,25.22662998290503,0.10309856784165294,1,99.35977605369683,True,1.5,neutral,1,Q4,False,True,3576.5,
2020-11-23 15:55:00,2020-11-24 09:30:00,3573.75,3583.3357142857144,475.58571428572014,long,10,3562.8571428571427,3583.3357142857144,2,4.357142857142857,59.848484845945826,10001,6848.55,40675.274285714295,profit_target,3.7,41150.860000000015,51.34815649371476,0.10830041300053939,1,100.0,True,1.5,trend_following,1,Q4,False,True,3604.25,
2020-11-24 09:40:00,2020-11-24 10:10:00,3596.25,3607.25,382.41,long,7,3581.026785714286,3609.6464285714287,6,6.089285714285714,67.37967914236724,18230,9044.75,41148.27000000002,time_exit,2.59,41530.68000000002,42.869994142348126,0.1456969615382553,1,100.0,True,1.5,trend_following,1,Q4,False,True,3608.75,
2020-11-30 10:50:00,2020-11-30 10:55:00,3601.0,3607.1428571428573,182.06571428572013,long,6,3588.714285714286,3607.1428571428573,1,6.142857142857143,26.42487046555452,27858,11934.45,41528.46000000002,profit_target,2.2199999999999998,41710.525714285744,56.20314906906411,-0.16231287595032118,1,79.99998345138182,True,1.2,mean_reverting,1,Q4,False,True,3610.0,
