number,value,datetime_start,datetime_complete,duration,params_hmm_detector.lookback_days,params_hmm_detector.min_samples,params_hmm_detector.retrain_frequency,params_market_type.mean_reverting.min_regime_score,params_market_type.neutral.min_regime_score,params_market_type.trend_following.min_regime_score,params_position_sizing.max_size_adjustment,params_position_sizing.min_size_adjustment,params_risk.atr_stop_multiplier,params_risk.dynamic_target_atr_multiplier,params_risk.max_bars_held,params_risk.risk_per_trade,params_risk.trailing_stop_atr_multiplier,user_attrs_max_drawdown,user_attrs_profit_loss,user_attrs_trade_count,user_attrs_win_rate,state
0,0.35563011236091074,2025-03-30 01:17:03.794694,2025-03-30 01:17:24.090829,0 days 00:00:20.296135,20,300,5,45.0,45.0,75.0,2.0,0.9,3.0,1.5,8,0.009000000000000001,2.1,6.063086734571066,3770.262142857151,22,77.27272727272727,COMPLETE
1,0.4092921125352095,2025-03-30 01:17:24.091152,2025-03-30 01:17:44.659074,0 days 00:00:20.567922,30,250,7,40.0,50.0,65.0,1.5,0.8,1.7,1.1,14,0.008,1.2,1.3408597962079425,3854.6985714285765,14,78.57142857142857,COMPLETE
2,0.3127422441131297,2025-03-30 01:17:44.659387,2025-03-30 01:18:04.123836,0 days 00:00:19.464449,20,300,5,47.5,50.0,80.0,1.1,0.8,2.3,0.8,14,0.007,1.9,2.4944917927733816,1427.4028571428935,17,70.58823529411765,COMPLETE
3,0.1302386730284406,2025-03-30 01:18:04.124130,2025-03-30 01:18:17.054931,0 days 00:00:12.930801,25,200,11,42.5,47.5,72.5,2.0,0.8,1.6,0.8,20,0.01,1.7000000000000002,6.729206851130589,1297.3185714285355,22,72.72727272727273,COMPLETE
4,0.44568638314512554,2025-03-30 01:18:17.055294,2025-03-30 01:18:38.933983,0 days 00:00:21.878689,20,200,5,37.5,57.5,70.0,1.3,0.6,2.9000000000000004,1.9000000000000001,6,0.015,1.9,5.489412382564143,5446.158928571436,21,71.42857142857143,COMPLETE
5,0.3646069646291519,2025-03-30 01:18:38.934264,2025-03-30 01:19:00.409596,0 days 00:00:21.475332,35,150,7,45.0,57.5,77.5,1.8,0.5,1.7,0.8,20,0.011,2.2,1.324934798811031,3187.521785714336,13,84.61538461538461,COMPLETE
6,0.49704141715940414,2025-03-30 01:19:00.409925,2025-03-30 01:19:23.078407,0 days 00:00:22.668482,20,200,7,45.0,60.0,77.5,1.5,0.5,1.6,1.6,10,0.009000000000000001,2.3,3.359610479713547,3975.65285714285,22,77.27272727272727,COMPLETE
7,-0.007495842904604981,2025-03-30 01:19:23.078689,2025-03-30 01:19:34.996738,0 days 00:00:11.918049,30,150,9,35.0,55.0,65.0,1.3,0.7,2.7,1.8,12,0.013000000000000001,1.8,8.481003653322059,-129.8664285713894,15,66.66666666666666,COMPLETE
8,0.535383067166841,2025-03-30 01:19:34.997088,2025-03-30 01:19:55.838006,0 days 00:00:20.840918,20,175,7,47.5,55.0,80.0,1.9,0.9,1.8,1.7000000000000002,8,0.015,1.6,2.1377264502242284,9127.177142857166,15,86.66666666666667,COMPLETE
9,0.17361827508765892,2025-03-30 01:19:55.838300,2025-03-30 01:20:16.067814,0 days 00:00:20.229514,25,175,5,47.5,60.0,70.0,1.0,0.7,2.9000000000000004,1.8,20,0.007,1.8,2.7930621122470267,760.6857142857334,17,70.58823529411765,COMPLETE
