number,value,datetime_start,datetime_complete,duration,params_hmm_detector.lookback_days,params_hmm_detector.min_samples,params_hmm_detector.retrain_frequency,params_market_type.mean_reverting.min_regime_score,params_market_type.neutral.min_regime_score,params_market_type.trend_following.min_regime_score,params_position_sizing.max_size_adjustment,params_position_sizing.min_size_adjustment,params_risk.atr_stop_multiplier,params_risk.dynamic_target_atr_multiplier,params_risk.max_bars_held,params_risk.risk_per_trade,params_risk.trailing_stop_atr_multiplier,user_attrs_max_drawdown,user_attrs_profit_loss,user_attrs_trade_count,user_attrs_win_rate,state
18,0.1624684925847302,2025-03-30 00:50:23.308082,2025-03-30 00:50:28.684762,0 days 00:00:05.376680,35,175,13,47.5,47.5,67.5,1.9,0.9,1.8,1.7000000000000002,8,0.012,2.5,3.107693003660042,1955.7653571428746,18,66.66666666666666,COMPLETE
19,0.10479593457082492,2025-03-30 00:50:28.685010,2025-03-30 00:50:33.231896,0 days 00:00:04.546886,25,275,9,37.5,55.0,77.5,1.4,0.8,2.1,1.3,10,0.014,1.1,7.847044642857126,1363.043392857202,34,61.76470588235294,COMPLETE
20,0.12156622244105922,2025-03-30 00:50:33.232136,2025-03-30 00:50:43.232445,0 days 00:00:10.000309,30,225,7,42.5,47.5,80.0,1.8,0.6,1.5,1.0,18,0.006,1.4,1.3612477678571484,519.4208928571461,25,64.0,COMPLETE
21,0.27502221921909964,2025-03-30 00:50:43.232710,2025-03-30 00:50:51.862280,0 days 00:00:08.629570,30,250,7,40.0,50.0,65.0,1.5,0.8,1.8,1.1,14,0.009000000000000001,1.2,4.5929275565459875,2771.5173214286187,38,65.78947368421053,COMPLETE
22,0.23780574387755174,2025-03-30 00:50:51.862543,2025-03-30 00:51:00.735745,0 days 00:00:08.873202,30,250,7,40.0,50.0,65.0,1.6,0.8,1.9,1.0,14,0.01,1.2,3.949100026625487,2440.5892857143044,34,67.64705882352942,COMPLETE
23,0.20242000504576516,2025-03-30 00:51:00.736012,2025-03-30 00:51:05.231577,0 days 00:00:04.495565,30,275,9,42.5,52.5,65.0,1.4,0.9,1.8,1.4000000000000001,12,0.009000000000000001,1.0,3.7251821428571743,1888.1594642857017,37,62.16216216216216,COMPLETE
24,-0.1774201510977992,2025-03-30 00:51:05.464853,2025-03-30 00:51:14.301594,0 days 00:00:08.836741,35,250,7,40.0,50.0,67.5,1.2,0.7,2.1,1.2000000000000002,18,0.012,1.5,8.335740239971136,-2420.3062499999505,39,51.28205128205128,COMPLETE
25,0.27583940518865735,2025-03-30 00:51:14.301880,2025-03-30 00:51:20.175827,0 days 00:00:05.873947,25,225,9,37.5,52.5,72.5,1.7000000000000002,0.8,1.5,0.9,16,0.008,1.3,1.7454931667356388,1739.2337500000067,22,72.72727272727273,COMPLETE
26,-0.06747672344624754,2025-03-30 00:51:20.176107,2025-03-30 00:51:26.021272,0 days 00:00:05.845165,25,200,11,37.5,52.5,72.5,1.7000000000000002,0.9,1.5,0.9,16,0.006,1.4,6.978956111215911,-491.46607142861467,41,53.65853658536586,COMPLETE
27,0.1436231289463697,2025-03-30 00:51:26.021570,2025-03-30 00:51:32.273851,0 days 00:00:06.252281,20,225,9,35.0,55.0,75.0,1.9,0.7,1.6,0.9,18,0.014,1.6,10.163101255118487,2433.4580357143714,34,61.76470588235294,COMPLETE
28,0.015812851631715818,2025-03-30 00:51:32.274118,2025-03-30 00:51:38.111872,0 days 00:00:05.837754,25,175,13,37.5,57.5,70.0,1.7000000000000002,0.8,1.7,1.5,16,0.008,1.3,8.424869538428476,61.93607142864494,39,53.84615384615385,COMPLETE
29,0.01264216468237888,2025-03-30 00:51:38.112122,2025-03-30 00:51:47.188307,0 days 00:00:09.076185,20,300,5,45.0,55.0,77.5,2.0,0.9,1.5,1.5,8,0.008,1.1,3.866921286309445,41.19178571431257,22,59.09090909090909,COMPLETE
30,-0.11628302160236008,2025-03-30 00:51:47.188572,2025-03-30 00:51:52.969197,0 days 00:00:05.780625,20,150,9,42.5,52.5,72.5,1.8,0.9,2.0,0.9,12,0.01,2.0,4.2720443422496945,-1229.133035714287,14,50.0,COMPLETE
31,0.2168767425790771,2025-03-30 00:51:52.969478,2025-03-30 00:52:04.297269,0 days 00:00:11.327791,30,225,7,40.0,45.0,65.0,1.6,0.8,1.8,1.1,14,0.009000000000000001,1.1,2.0502885181248107,1369.442678571475,25,64.0,COMPLETE
32,0.031136965073504778,2025-03-30 00:52:04.297630,2025-03-30 00:52:14.501672,0 days 00:00:10.204042,30,250,7,40.0,50.0,67.5,1.4,0.8,1.7,1.2000000000000002,14,0.007,1.3,4.31780802486526,204.36071428573632,45,57.77777777777777,COMPLETE
